,candidato,text
0,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
1,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
2,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
3,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
4,Alckmin,"RT @snesfca: Lista atualizada de comunistas:
The NY Times
The Economist
Le Mond
Intercept
Alemanha 
Geraldo Alckmin
ONU
Bill Clinton
Madonn…"
5,Alckmin,"RT @anacronices: CASOS DE FAMÍLIA
Tema: Meu partido virou uma zona https://t.co/aZnDBbwPfl"
6,Alckmin,"RT @josemurilo: ""Após Edir Macedo ver que o Alckmin não decolaria e declarar via Facebook que apoiaria Bolsonaro, a redação deu uma guinada…"
7,Alckmin,"RT @joicehasselmann: O @geraldoalckmin é um horror, jogou sujo, atacou @jairbolsonaro , favoreceu o PT, e prejudicou até mesmo o @jdoriajr.…"
8,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
9,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
10,Alckmin,"RT @marcosmitri: Haddad está enfrentado sozinho o nazifascismo,

Ciro, Alckmin, Marina, Meirelles, Fernando Henrique, José Serra, todos aba…"
11,Alckmin,@Suziane___ Não voto em socialista nem em traíra. Mas França em sua propaganda fala em continuar o trabalho iniciad… https://t.co/trj1XRO6z9
12,Alckmin,"RT @DeputadoFederal: O mundo dá voltas. A atriz Regina Duarte, que votou no Collor, FHC, Serra, Alckmin e Aécio (até aqui ok, dentro da dem…"
13,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
14,Alckmin,"RT @marcosmitri: Haddad está enfrentado sozinho o nazifascismo,

Ciro, Alckmin, Marina, Meirelles, Fernando Henrique, José Serra, todos aba…"
15,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
16,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
17,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
18,Alckmin,RT @joaopaulom: Geraldo Alckmin e Tasso Jereissati tomaram o comando do PSDB do Aécio na mão grande. O castigo veio a cavalo. Aécio está el…
19,Alckmin,"Todos com esperança de conseguirem um naquinho da terra arrasada que o Bolsonazi pode implantar? 🗑️🚮
#EleNão… https://t.co/CQPLq2HPHT"
20,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
21,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
22,Alckmin,"RT @ronaldrios: Odiar o Bolsonaro mas votar branco porque ""PT de novo jamais"" e aí ficar TORCENDO pra não dar Bolso é VIVER NUM UNIVERSO QU…"
23,Alckmin,RT @juliolinden: @Suziane___ Não voto em socialista nem em traíra. Mas França em sua propaganda fala em continuar o trabalho iniciado por A…
24,Alckmin,"RT @JoHnNy_RoCk1: Outro ""efeito Bolsonaro""
Recebeu apoio da bancada ruralista, da Igreja Universal, da Assembleia de Deus, do pastor Silas…"
25,Alckmin,Pesado!
26,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
27,Alckmin,"RT @EISENHOWER27: Eleitores e simpatizantes do ALCKMIN, vejam o mesmo afirmando que o PT do Malddad lançou da porta da penitenciária uma ca…"
28,Alckmin,"RT @joicehasselmann: O @geraldoalckmin é um horror, jogou sujo, atacou @jairbolsonaro , favoreceu o PT, e prejudicou até mesmo o @jdoriajr.…"
29,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
30,Alckmin,"RT @CorrupcaoMemes: Quem é você no role?

Lula: não vai porque está preso em casa

Bolsonaro: só vai pra arrumar briga e volta quase morto…"
31,Alckmin,"RT @zehdeabreu: Respeitei a posição de @reginaduarte enquanto ela apoiava a direita democrática com Serra, Alckmin, FHC, Dória. Quando apoi…"
