,candidato,text
0,Bolsonaro,RT @Miltonneves: Falo como “sapo de fora”. Essas invenções de ataques por parte do pessoal pró-PT para pintar o esfaqueado Bolsonaro como r…
1,Bolsonaro,"RT @cidadaodemal: Viva Nossa Senhora Aparecida

1995: Pastor chutou imagem da Santa e causou revolta no país.

2018: Edir Macedo, líder da…"
2,Bolsonaro,"RT @carloscezarcjr: Bolsonaro fica em 1° lugar com 20 milhões de votos na frente do 2°.

Revoltados com essa diferença, os apoiadores de Bo…"
3,Bolsonaro,"RT @NaoInviabilize: não foi atacada, não foi agredida, óia lá nóis atráis tudo rinu kkkkkk https://t.co/R1axQSO7KA"
4,Bolsonaro,"É isso aí, Brasil acima de tudo, Deus acima de todos. 
#BrasilComBolsonaro17"
5,Bolsonaro,"RT @fernandatanaka_: O Boulos, amigo do Haddad, incitando uma multidão a invadir a casa do Bolsonaro. Que Deus proteja o capitão."
6,Bolsonaro,@andradepontocom @GarotaCiume Se vc lesse o plano de governo do bolsonaro não teria tanta certeza que teria comida… https://t.co/SR5YRUP2yN
7,Bolsonaro,RT @pedroleite82: Daqui a cem anos vai ter adolescente dizendo que Bolsonaro foi de esquerda.
8,Bolsonaro,RT @Corinthianixta: O cara fica puto e xinga em latim mano https://t.co/GsDwIe7X81
9,Bolsonaro,RT @NoticiasdoPARA: Auto do Círio tem manifestação contra o presidenciável Jair Bolsonaro. https://t.co/c9rlL6jXCo
10,Bolsonaro,"RT @maepatriota: Chega! Nunca mais falo bem de Bolsonaro depois disto aqui! Olhem o q ele fez com um nordestino!!!
#Nordeste17 
#NordesteCo…"
11,Bolsonaro,"Bolsonaro diz que aceita realizar debate com Haddad, com condições https://t.co/iXrNnt2Kpa"
12,Bolsonaro,"RT @dudaaraujo03: O bolsonaro não vai matar viado, não vai diminuir mulher, não vai bater em preto com as próprias mãos. 
Mas o discurso de…"
13,Bolsonaro,"RT @soyjehny: Engraçado né Haddad, quando o Bispo Edir Macedo apoiou o PT você não reclamou. Agora que ele declara apoio ao Jair Bolsonaro…"
14,Bolsonaro,"RT @PSL_Nacional: No governo de Jair Bolsonaro, o homem do campo seja do agronegócio ou da agricultura familiar, será valorizado. Bolsonaro…"
15,Bolsonaro,RT @Haddad_Fernando: Sobre o deputado Jair Bolsonaro: quem não tem proposta não tem o que debater. Eu lamento. Porque se alguém quer presid…
16,Bolsonaro,"RT @cirogomes: Bolsonaro é a promessa certa de uma crise. 

#DemocraciaSim https://t.co/OOEdGn3yZx"
17,Bolsonaro,"RT @DainielJST: Cara, o Bolsonaro chegou há menos de 1 mês a 1 milhão de inscritos no youtube, e já está com 1 milhão e 800 mil inscritos.…"
18,Bolsonaro,"RT @MarcioPochmann: A proposta de Bolsonaro para o ensino a distância a partir de 6 anos de idade desconstrói a educação como conhecermos,…"
19,Bolsonaro,RT @GuilhermeBoulos: Bolsonaro acaba de fazer um ao vivo no Facebook levantando novamente suspeitas de fraude nas urnas eletrônicas. Disse…
20,Bolsonaro,Eu sou da época que homem hétero gostava de mulher. Agora eles tem tesão e até brigam pelo Bolsonaro 🤔
21,Bolsonaro,"RT @flaviomorgen: O @Haddad_Fernando diz que eleitores de Bolsonaro ofendem a Igreja Católica. Diz aí, Andrade: qual rolou antes, o Concíli…"
22,Bolsonaro,Bolsonaro: “Eu lamento essas agressões. Gostaria que elas parassem” https://t.co/I9UEgsIUGM
23,Bolsonaro,"RT @fernandatanaka_: O Boulos, amigo do Haddad, incitando uma multidão a invadir a casa do Bolsonaro. Que Deus proteja o capitão."
24,Bolsonaro,"RT @Haddad_Fernando: Jair Bolsonaro não tem qualificação para ser deputado, quanto mais presidente. São 513 deputados e ele, sem sombra de…"
25,Bolsonaro,"RT @gilmarok: 12 provas de que Bolsonaro não é patriota, nem honesto, muito menos cristão https://t.co/cndpC722v1"
26,Bolsonaro,"RT @RenovaMidia: Em editorial, o The Wall Street Journal afirmou:

""Os progressistas globais estão tendo um ataque de ansiedade por causa d…"
27,Bolsonaro,"RT @roxmo: Debata conosco, os brasileiros que Bolsonaro representa. Vc está fugindo de todas as acusações que lhe são feitas aqui, @Haddad_…"
28,Bolsonaro,RT @Estadao: Bolsonaro agradece apoio de Doria e diz não ter problema em encontrá-lo https://t.co/yzsK3vHxk8 https://t.co/Zo8I0EARqR
29,Bolsonaro,RT @Haddad_Fernando: Vou contar para vocês a verdade sobre o deputado Jair Bolsonaro. https://t.co/HKmvXHpjf8
30,Bolsonaro,Olha aí Maria seu idalo kkkkk https://t.co/0WgAP1GSnk
31,Bolsonaro,RT @musoverao: Haddad e Bolsonaro tuitando um sobre o outro parece aquele casal que terminou e ainda n superou o término
32,Bolsonaro,RT @zehdeabreu: Bolsonaro ama Ulstra. Ulstra enfiava ratos vivos nas vaginas de mulheres torturadas e levava os filhos delas para vê-las ca…
33,Bolsonaro,RT @Corinthianixta: O cara fica puto e xinga em latim mano https://t.co/GsDwIe7X81
34,Bolsonaro,"RT @rvianna: A suástica, de novo.
Agora na testa do escritor Simões Lopes Neto , em Pelotas- RS.
Mas isso não tem nada a ver com a escalada…"
35,Bolsonaro,"RT @DeputadoFederal: ""Fascista, sangue ruim, cabra de peia, se saia!"", recado sensacional de uma nordestina ao fascista Bolsonaro!
#Bolsona…"
36,Bolsonaro,RT @tlmota: Janaina Paschoal diz que abandona curso de violão se ele se mostrar musical https://t.co/iWTZC5hGWf
37,Bolsonaro,"RT @lolaescreva: É duro saber q tem quem acredita na honestidade de um político q: 
- foi do partido do Maluf durante 2 décadas
- sonega im…"
38,Bolsonaro,"RT @tthiagosouza: No Uber:
- eae cara, vai de bolsonaro?
- não 

(silêncio de meio minuto)

- quer que eu bote alguma música?
- sim, Rihann…"
39,Bolsonaro,Titio Ciro voltou! ♥
40,Bolsonaro,"RT @MussumAlive: GENTE ACABEI DE FICAR SABENDO!🔥😎👉👉🔥

SE NA URNA ELETRÔNICA VOCÊ COLOCAR 3️⃣4️⃣ AO INVÉS DE 17,  O BOLSONARO GANHA NADA MEN…"
41,Bolsonaro,"RT @PastorMalafaia: FAKE NEWS DA FOLHA 2  &gt; Não existe núcleo evangélico na campanha de Bolsonaro, o que existe, a muito tempo, são afinida…"
42,Bolsonaro,"RT @allantercalivre: Cronologicamente
1. Gleisi pede ajuda ao mundo árabe: todos riram.
2. Operador do Hezbollah é preso em Foz do Iguaçu:…"
