,candidato,text
0,Ciro,@brokiado Se fosse o Ciro já tinha chamado de Nazista filho da puta :(
1,Ciro,Só me resta lamentar https://t.co/oJwDxBAaIG
2,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
3,Ciro,FORO 12  MÍDIA PETISTA 247 JOGA A TOALHA E ATACA CIRO https://t.co/Se66b8MBr3 via @YouTube #ciro2022 @cirogomes @todoscomciro @KatiaAbreu
4,Ciro,"RT @PropostasCiro: Imagina se Ciro e PDT tivessem:

Isolado Haddad

Comprado lideranças que estavam apoiando ele livremente

Feito acordos…"
5,Ciro,RT @FilipeTois: @cirogomes MEU CIRO TÁ VIVOOOOOOOOO
6,Ciro,"RT @mcjuju: Ciro gritou aos 4 ventos ""ele não"" e ate ""nazista filha da puta"", mas na hora do pega pra capar meteu o pé pra Zoropa e deixou…"
7,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
8,Ciro,"RT @gavrielventura: petista reclama que não é o momento de criticar o pt, q é nao é hora de dividir a esquerda pipipipopopo pra ficar de gr…"
9,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
10,Ciro,"Primeiro turno fui de Ciro e contra Bolsonaro, agr sou antipetista, uma antipetista contra Bolsonaro 💪😂"
11,Ciro,"RT @Lynhozinho: A gente é um povo tão foda mas muito desunido

Entendam que o PT não é opção, é a salvação de uma ditadura. Parem de olhar…"
12,Ciro,RT @DaniloGentili: Começou falando que ia tirar todo mundo do SPC e terminou pedindo pra sair. https://t.co/Si2dt5ipzY
13,Ciro,to no uber e o motorista tocou no assunto de política ja pensei logo q era bolsominion mas ele votou no ciro aiiiinn 💜💜
14,Ciro,RT @wanmarcal: @red_346 @ultrajano 1% tem que ter quem age pra melar candidatura de candidato que venceria Bozo. Agora que tão no segundo t…
15,Ciro,"RT @Ramiroccastro: O que está acontecendo com o PDT?  Os 2 candidatos a governador, no amazonas e Rio Grande do Norte declaram voto em Bols…"
16,Ciro,"ciro gomes Bolsonaro é a promessa certa de uma crise. 
#HaddadSim #DemocraciaSim https://t.co/2NiaXG73ck"
17,Ciro,"RT @smarieskam: o ano é 2022: 

já é outubro, eleições, Ciro Gomes vence no primeiro turno com 60% dos votos, todos felizes, aí vem novembr…"
18,Ciro,"RT @Ramiroccastro: O que está acontecendo com o PDT?  Os 2 candidatos a governador, no amazonas e Rio Grande do Norte declaram voto em Bols…"
19,Ciro,"@cirogomes Ciro, fale fale fale"
