,candidato,text
0,Haddad,"RT @Desesquerdizada: 1° turno, Bolsonaro recebe 46% de votos
0 espancados
0 mortos
1 esfaqueado (Bolsonaro)

2° turno, Haddad precisa obter…"
1,Haddad,@Haddad_Fernando o que o senhor explica?
2,Haddad,@gorilagato Vi uma moça andando com uma camiseta do pato do haddad hj e quase pedi pra tirar foto
3,Haddad,"RT @NaoInviabilize: não foi atacada, não foi agredida, óia lá nóis atráis tudo rinu kkkkkk https://t.co/R1axQSO7KA"
4,Haddad,"RT @wearewithbap: impressionante o haddad nao pode fazer um tweet que os bolsominions ja vao correndo mencionar, parece que fica 24h monito…"
5,Haddad,RT @UOLNoticias: Candidato do PSL apoia Haddad em Sergipe e se diz ameaçado  https://t.co/8cJ4IUvWz8
6,Haddad,RT @viquenss: fanfic do filho do haddad com o filho do ciro https://t.co/fEgtWvs25d
7,Haddad,I liked a @YouTube video https://t.co/zNLNiVWfuH URGENTE!! HADDAD DETONA EDIR MACEDO E RECEBE RESPOSTA DA UNIVERSAL!! VEJAM.
8,Haddad,RT @jairbolsonaro: Como mentir mais? Isso é PT! https://t.co/OB8Q4B3uVv
9,Haddad,"Não, você não leu os processos da lava jato?
Controle tinha, e era do Lula, pra roubar."
10,Haddad,RT @Ramiroccastro: Quer entender o pq Edir Macedo e a universal odeiam Haddad? Não tem nada a ver com fé! O templo de salomao não tinha hab…
11,Haddad,Ibope: Haddad mais do que dobra intenções de voto no Nordeste e atinge 31% https://t.co/WL2nN4wIgc
12,Haddad,"RT @guarosen: O POSTE Haddad é motivo de chacota até nos EUA!
Deixem suas risadas kkkk #BrasilComBolsonaro17 https://t.co/2k7OAhSBk1"
13,Haddad,"RT @bolsonaro_train: URGENTE  (+18) 
Jovem com camisa vermelha e adesivo do Haddad entra em manifestação do Bolsonaro. 
OLHA O QUE ACONTECE…"
14,Haddad,RT @blackprinks: FAKE NEWS: Desmentindo todos os ditos falsos que disseram sobre o plano de governo do haddad: a thread (RT para espalhar)…
15,Haddad,RT @AlexandreMega: Desconfio que a ida dos ATEUS na Igreja em busca de votos foi o grande tiro no pé dessa campanha. Provocou a ira dos cri…
16,Haddad,"RT @guarosen: O POSTE Haddad é motivo de chacota até nos EUA!
Deixem suas risadas kkkk #BrasilComBolsonaro17 https://t.co/2k7OAhSBk1"
17,Haddad,"RT @ourswiftaylor: -alô
-alô
-queria falar com quem?
-haddad
-oh querido debateram aqui
-não bem acho que é o contrário, você que me pergun…"
18,Haddad,RT @musoverao: Haddad e Bolsonaro tuitando um sobre o outro parece aquele casal que terminou e ainda n superou o término
19,Haddad,"RT @AcordouAcordou: IGREJA UNIVERSAL

RESPONDE AO CANDIDATO

HADDAD DO PT 

. https://t.co/KMILdnOBYs"
20,Haddad,"RT @9407_ana: Situação que estamos. É só comparar.
Bolsonaro quer taxa de imposto de renda de 20% apenas pra quem ganha acima de 5 mil reai…"
21,Haddad,rapaz o haddad é o rei da internet do BRASIL. CHAMOU NA XINXA.
22,Haddad,RT @FlavioBolsonaro: A mentira é a marca registrada do PT: https://t.co/1zsE3sNXhJ
23,Haddad,"RT @bolsonaro_train: URGENTE  (+18) 
Jovem com camisa vermelha e adesivo do Haddad entra em manifestação do Bolsonaro. 
OLHA O QUE ACONTECE…"
24,Haddad,RT @exame: Haddad diz que Bolsonaro não tem qualificação nem para ser vereador https://t.co/dJ466BsSol
25,Haddad,"RT @essencialagua: Igreja Universal diz que vai processar Fernando Haddad, do PT https://t.co/raU5rAkLqH"
26,Haddad,"RT @ourswiftaylor: -alô
-alô
-queria falar com quem?
-haddad
-oh querido debateram aqui
-não bem acho que é o contrário, você que me pergun…"
27,Haddad,"Enquanto isso😴😴😴😴
""O candidato prometeu... https://t.co/HK7xX2ph4n"
28,Haddad,RT @augustosnunes: #SanatórioGeral Lindbergh garante que o candidato que venceu Haddad por uma diferença de 18 milhões de votos é muito par…
29,Haddad,"Haddad é réu em ação sobre ciclovia que causou um prejuízo de R$ 5,2 mi https://t.co/0CWlpxNGP4"
30,Haddad,"RT @gnatalini: Veja mais essa fiscalização que eu fiz, cumprindo minha obrigação de Vereador: Fernando Haddad “falsifica” frota de veículos…"
31,Haddad,RT @luciano_hang: Haddad e Manuela agora vão na missa e tomam comunhão para enganar a população. Quantos  milagres o Bolsonaro já fez no Br…
32,Haddad,"RT @cynaramenezes: tosconaro faz perguntas a haddad no twitter, mas não tem coragem de perguntar cara a cara num debate. 
parece aqueles mo…"
33,Haddad,RESUMÃO ANTAGONISTA: Haddad corre atrás de Bolsonaro https://t.co/OGcXNSEPxG via @YouTube
34,Haddad,RT @o_antagonista: Haddad desconversa sobre nomes para o ministério https://t.co/SLtCeMoZ78
35,Haddad,"URGENTE: Ações atribuídas a Jair Bolsonaro vem do PT de Haddad, Lula e D... https://t.co/S4ggYDAFWZ via @YouTube"
36,Haddad,RT @stanleyburburin: Quer entender o pq Edir Macedo e a universal odeiam Haddad? O templo de salomao não tinha habite-se e Haddad aplicou a…
37,Haddad,"RT @ottoni3101: URGENTE:
ARQUIVOS DE HADDAD DIRECIONAM MILITÂNCIA DO PT CONTRA BOLSONARO.
Tá explicado. Acontece que o próprio Bolsonaro é…"
38,Haddad,RT @BuzzFeedNewsBR: Haddad disse que faltou controle interno nas estatais e que “os diretores ficaram soltos para promover a corrupção e en…
39,Haddad,RT @Patricia_Paes10: E minhas irmãs que moram em Franco da Rocha e andam na igreja universal e votaram no Haddad e os pastores tao querendo…
40,Haddad,"@thallesmonari Não há mentiras, são fatos! Mentiroso é quem tem cargueira deliberada causada pela alienação partidá… https://t.co/dOsMfci3Ec"
